,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntWine_PerIncome,MntFruit_PerIncome,MntMeat_PerIncome,MntFish_PerIncome,MntSweet_PerIncome,MntGold_PerIncome,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,Education_2n Cycle,Education_Bachelors,Education_HighSchool,Education_Master,Education_PhD,Dt_Custom_Weekday_0,Dt_Custom_Weekday_1,Dt_Custom_Weekday_2,Dt_Custom_Weekday_3,Dt_Custom_Weekday_4,Dt_Custom_Weekday_5,Dt_Custom_Weekday_6,Dt_Customer_Season_Autumn,Dt_Customer_Season_Spring,Dt_Customer_Season_Summer,Dt_Customer_Season_Winter
23,1954,65324.0,0,1,0,5.950642552587727,0.0,4.624972813284271,3.044522437723423,3.4657359027997265,1.6094379124341003,3,6,2,9,4,0,0,0,0,0,0,0,-5.829619410168853,0.0,-7.155289149472308,-8.735739525033155,-8.314526059956853,-10.170824050322478,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
24,1951,40689.0,0,1,69,5.598421958998375,1.0986122886681098,3.295836866004329,3.6635616461296463,1.791759469228055,4.59511985013459,7,7,1,5,8,0,0,0,0,0,0,0,-5.708438286192395,-10.20824795652266,-8.01102337918644,-7.643298599061123,-9.515100775962715,-6.71174039505618,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,1969,18589.0,0,0,89,1.791759469228055,1.3862943611198906,3.2188758248682006,2.70805020110221,2.4849066497880004,2.5649493574615367,2,2,1,3,7,0,0,0,0,0,0,0,-8.731712998239034,-9.137178106347198,-7.304596642598889,-7.815422266364879,-8.038565817679089,-7.958523110005553,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,1976,53359.0,1,1,4,5.153291594497779,1.3862943611198906,3.4011973816621555,1.0986122886681098,1.791759469228055,3.713572066704308,4,5,1,4,7,0,0,0,0,0,0,0,-6.424653525846379,-10.191650759224267,-8.176747738682002,-10.479332831676048,-9.786185651116103,-7.8643730536398495,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,1986,51381.5,1,0,19,1.6094379124341003,0.0,1.0986122886681098,1.0986122886681098,5.572154032177765,5.8916442118257715,0,27,0,0,1,0,0,0,0,0,0,0,-9.93074273260258,-11.54018064503668,-10.44156835636857,-10.44156835636857,-5.968026612858916,-5.648536433210909,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28,1989,38360.0,1,0,26,3.58351893845611,0.6931471805599453,3.7376696182833684,2.995732273553991,3.044522437723423,2.302585092994046,2,2,1,4,3,0,0,0,0,0,0,0,-7.66439877110121,-10.554770528997375,-7.510248091273952,-8.252185436003328,-8.203395271833896,-8.945332616563274,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29,1965,84618.0,0,0,96,6.52795791762255,4.605170185988092,6.68586094706836,3.044522437723423,4.189654742026425,0.0,1,6,9,10,2,0,0,1,0,0,0,0,-5.51109155185769,-7.433879283492149,-5.353188522411881,-8.994527031756817,-7.849394727453815,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
30,1989,10979.0,0,0,34,2.0794415416798357,1.3862943611198906,2.302585092994046,0.6931471805599453,0.6931471805599453,1.3862943611198906,2,3,0,3,5,0,0,0,0,0,0,0,-7.917445275114842,-8.610592455674787,-7.694301723800632,-9.303739636234733,-9.303739636234733,-8.610592455674787,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
31,1963,38620.0,0,0,56,4.718498871295094,2.833213344056216,3.784189633918261,3.5263605246161616,3.091042453358316,4.48863636973214,1,2,5,3,3,0,0,0,0,0,0,0,-6.536173865247356,-8.421459392486234,-7.47048310262419,-7.72831221192629,-8.163630283184135,-6.766036366810311,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
32,1970,40548.0,0,1,31,4.700480365792417,0.0,1.6094379124341003,0.6931471805599453,0.0,1.0986122886681098,2,2,1,4,5,0,1,0,0,0,0,0,-6.602908551269819,0.0,-9.693951004628135,-10.61024173650229,0.0,-10.204776628394125,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,1952,46610.0,0,2,8,4.564348191467836,2.4849066497880004,4.564348191467836,3.4965075614664802,3.091042453358316,3.7612001156935624,6,4,1,6,6,0,0,0,0,0,0,1,-6.8783693784588955,-8.957810920138732,-6.8783693784588955,-7.946210008460252,-8.351675116568416,-7.68151745423317,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
34,1946,68657.0,0,0,4,6.1779441140506,3.5263605246161616,6.154858094016418,4.77912349311153,4.219507705176107,3.091042453358316,1,3,5,9,7,0,0,0,0,0,0,0,-5.652081439003955,-8.303665028438393,-5.675167459038137,-7.050902059943025,-7.610517847878448,-8.73898309969624,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35,1951,49389.0,1,1,55,3.6888794541139363,0.0,2.9444389791664403,0.6931471805599453,0.0,1.0986122886681098,1,2,0,3,7,0,0,0,0,0,0,0,-7.811750732762141,0.0,-8.556191207709636,-10.807483006316131,-11.500630186876077,-10.402017898207967,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
36,1970,67353.0,0,1,37,6.553933404025811,2.833213344056216,5.017279836814924,0.0,2.0794415416798357,3.5553480614894135,5,5,6,12,2,0,0,0,0,0,0,0,-5.256916500810459,-8.977636560780054,-6.793570068021346,0.0,-9.731408363156435,-8.255501843346856,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
37,1976,23718.0,1,0,76,1.791759469228055,1.0986122886681098,2.6390573296152584,2.70805020110221,1.9459101490553132,3.58351893845611,3,3,1,2,7,0,0,0,0,0,0,0,-8.97537724385663,-9.668524424416576,-8.128079383469426,-8.059086511982477,-8.821226564029372,-7.183617774628575,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38,1973,42429.0,0,1,99,4.007333185232471,0.0,1.791759469228055,0.6931471805599453,0.0,1.3862943611198906,2,1,1,3,5,0,0,0,0,0,0,0,-7.341401365016084,0.0,-9.5569750810205,-10.65558736968861,0.0,-9.962440189128664,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,1943,48948.0,0,0,53,6.07993319509559,2.0794415416798357,5.327876168789581,5.075173815233827,3.8918202981106265,3.7376696182833684,2,7,10,5,6,1,0,0,0,0,0,1,-5.411727774569914,-9.412219427985669,-6.163784800875923,-6.416487154431677,-7.599840671554878,-7.753991351382136,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40,1980,80011.0,0,1,3,6.042632833682381,4.330733340286331,6.284134161070802,4.406719247264253,5.181783550292085,4.624972813284271,2,8,6,5,4,0,0,0,0,0,0,0,-5.940433751081324,-7.652333244477374,-5.698932423692903,-7.5763473374994525,-6.80128303447162,-7.358093771479434,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41,1985,20559.0,1,0,88,2.5649493574615367,0.0,3.367295829986474,1.0986122886681098,0.0,1.9459101490553132,2,2,0,3,8,0,0,0,0,0,0,0,-8.059251903352342,-10.624201260813878,-7.256905430827405,-9.52558897214577,0.0,-8.678291111758565,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
42,1957,21994.0,0,1,4,2.1972245773362196,0.0,1.791759469228055,1.0986122886681098,0.0,1.0986122886681098,1,0,0,3,5,0,0,0,0,0,0,0,-8.494447571094605,0.0,-8.89991267920277,-9.593059859762715,-10.691672148430825,-9.593059859762715,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,1959,51381.5,0,0,80,4.394449154672439,2.3978952727983707,3.912023005428146,1.0986122886681098,0.6931471805599453,3.6635616461296463,1,1,3,4,2,0,0,0,0,0,0,0,-7.145731490364241,-9.142285372238309,-7.628157639608534,-10.44156835636857,-10.847033464476734,-7.876618998907033,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
45,1976,79941.0,0,0,72,4.812184355372417,5.099866427824199,5.583496308781699,5.424950017481403,3.4011973816621555,5.159055299214529,1,2,4,9,1,0,0,0,0,0,0,0,-7.170006966756637,-6.8823248943048565,-6.398695013347355,-6.557241304647652,-8.580993940466898,-6.823136022914525,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47,1968,41728.0,1,0,92,2.5649493574615367,1.791759469228055,2.70805020110221,1.0986122886681098,1.6094379124341003,2.5649493574615367,1,2,0,2,10,0,0,0,0,0,0,0,-8.767125468384734,-9.540315356618216,-8.62402462474406,-10.233462537178161,-9.72263691341217,-8.767125468384734,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48,1951,51381.5,2,1,96,3.871201010907891,1.6094379124341003,3.871201010907891,1.791759469228055,2.302585092994046,1.9459101490553132,3,2,1,4,6,0,0,0,0,0,0,0,-7.668979634128789,-9.93074273260258,-7.668979634128789,-9.748421175808625,-9.237595552042634,-9.594270495981366,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,1954,72550.0,1,1,39,6.716594773520978,3.912023005428146,5.75890177387728,3.912023005428146,3.6375861597263857,3.6375861597263857,9,5,2,12,8,0,0,0,0,0,0,0,-5.168583665351301,-7.973155433444133,-6.1262766649949985,-7.973155433444133,-8.247592279145893,-8.247592279145893,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
50,1957,65486.0,0,1,29,5.501258210544727,2.9444389791664403,4.8283137373023015,3.6109179126442243,4.204692619390966,2.6390573296152584,1,4,2,10,2,0,0,0,0,0,0,0,-6.2814806283347995,-8.838299859713086,-6.954425101577225,-8.171820926235302,-7.57804621948856,-9.143681509264267,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51,1964,79143.0,0,0,2,6.476972362889683,3.6109179126442243,6.659293919683638,3.295836866004329,5.117993812416755,3.4657359027997265,1,6,9,13,3,0,0,0,0,0,0,0,-5.4951864393968926,-8.361240889642351,-5.312864882602938,-8.676321936282246,-6.854164989869821,-8.506422899486848,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
52,1977,35790.0,1,0,54,2.4849066497880004,1.791759469228055,2.995732273553991,3.4011973816621555,0.0,1.0986122886681098,2,2,0,3,7,0,0,0,0,0,0,0,-8.693664334532016,-9.386811515091962,-8.182838710766026,-7.777373602657861,-11.178570984320016,-10.079958695651907,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,1977,82582.0,0,0,54,6.234410725718371,4.787491742782046,6.309918278226516,5.049856007249537,3.6888794541139363,5.484796933490655,1,4,9,7,1,1,0,0,1,0,0,1,-5.780283472927592,-7.227202455863917,-5.704775920419447,-6.964838191396426,-8.325814744532027,-6.529897265155308,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,1978,66373.0,1,1,57,5.793013608384144,2.1972245773362196,4.820281565605037,2.4849066497880004,3.1780538303479458,4.6913478822291435,7,4,2,10,3,0,0,0,0,0,0,0,-6.003179198439327,-9.598968229487252,-6.975911241218434,-9.31128615703547,-8.618138976475525,-7.104844924594327,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
55,1955,82384.0,0,0,55,6.891625897052253,3.9318256327243257,6.068425588244111,5.19295685089021,4.787491742782046,5.247024072160486,1,3,10,13,1,0,0,1,0,0,0,1,-5.120667805793614,-8.080468070121542,-5.943868114601758,-6.819336851955658,-7.224801960063822,-6.765269630685382,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
56,1966,70287.0,0,0,30,5.68697535633982,3.5553480614894135,6.1779441140506,4.795790545596741,4.787491742782046,3.6888794541139363,1,5,5,10,3,0,0,0,0,0,0,1,-6.166513963154875,-8.29814125800528,-5.675545205444094,-7.057698773897954,-7.065997576712649,-8.16460986538076,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57,1988,27938.0,1,0,31,2.5649493574615367,0.0,2.0794415416798357,0.6931471805599453,0.0,1.6094379124341003,1,1,0,4,3,0,0,0,0,0,0,0,-8.365940871385904,0.0,-8.851448687167606,-10.237743048287497,-10.930890228847442,-9.32145231641334,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58,1982,51381.5,1,0,57,2.3978952727983707,1.0986122886681098,3.091042453358316,0.6931471805599453,0.6931471805599453,1.791759469228055,2,2,0,3,6,0,0,0,0,0,0,0,-9.142285372238309,-10.44156835636857,-8.449138191678363,-10.847033464476734,-10.847033464476734,-9.748421175808625,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60,1982,75777.0,0,0,12,6.568077911411976,3.258096538021482,6.2878585601617845,4.23410650459726,2.5649493574615367,4.382026634673881,1,3,6,11,1,0,1,1,0,0,0,1,-5.360619364655056,-8.67060073804555,-5.6408387159052475,-7.694590771469772,-9.363747918605496,-7.54667064139315,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
61,1975,66653.0,1,1,18,6.113682179832232,2.8903717578961645,4.624972813284271,2.772588722239781,2.8903717578961645,1.791759469228055,4,4,2,12,3,0,0,0,0,0,0,0,-5.686720336574406,-8.910030758510473,-7.175429703122366,-9.027813794166857,-8.910030758510473,-10.008643047178582,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
62,1952,61823.0,0,1,26,6.259581464064923,1.9459101490553132,4.897839799950911,3.6109179126442243,2.6390573296152584,5.1298987149230735,4,8,2,10,7,0,0,0,0,0,0,0,-5.4655964589881565,-9.779267773997766,-6.827338123102168,-8.114260010408854,-9.08612059343782,-6.595279208130005,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
63,1951,67680.0,0,1,8,6.302618975744905,0.0,3.871201010907891,0.0,1.791759469228055,1.791759469228055,1,7,3,8,5,0,0,0,0,0,0,0,-5.513074199095145,0.0,-7.944492163932159,0.0,-10.023933705611995,-10.023933705611995,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
64,1948,70666.0,0,0,29,5.986452005284438,3.6888794541139363,5.905361848054571,4.77912349311153,4.804021044733257,3.4011973816621555,1,7,4,4,4,0,0,0,0,0,0,0,-5.8724150062547835,-8.169987557425285,-5.9535051634846505,-7.079743518427692,-7.054845966805964,-8.457669629877065,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
65,1971,25721.0,1,0,75,0.0,1.0986122886681098,1.791759469228055,1.0986122886681098,1.791759469228055,2.70805020110221,1,1,1,2,7,0,0,0,0,0,0,1,-10.848210238404517,-9.749597949736408,-9.056450769176463,-9.749597949736408,-9.056450769176463,-8.140160037302307,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,1979,88194.0,0,1,19,6.5337888379333435,2.6390573296152584,5.733341276897746,5.303304908059076,3.1780538303479458,3.6375861597263857,1,11,10,10,5,1,0,0,1,0,0,1,-5.546652555096644,-9.441384063414729,-6.347100116132243,-6.777136484970912,-8.902387562682042,-8.442855233303602,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68,1958,69096.0,0,1,4,5.5093883366279774,3.8918202981106265,5.0689042022202315,1.9459101490553132,4.406719247264253,4.6913478822291435,1,5,2,10,4,0,0,0,0,0,0,0,-6.327010964892089,-7.94457900340944,-6.767495099299835,-9.890489152464754,-7.4296800542558135,-7.145051419290923,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
69,1970,74854.0,1,2,90,6.752270376141742,4.07753744390572,6.18826412308259,4.060443010546419,3.367295829986474,4.290459441148391,7,2,5,5,5,0,0,0,0,0,0,0,-5.164171633051861,-7.8389045652878835,-5.7281778861110135,-7.855998998647184,-8.54914617920713,-7.625982568045212,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,1954,66991.0,0,0,1,6.206575926724928,3.58351893845611,6.131226489483141,5.241747015059643,4.0943445622221,2.4849066497880004,3,4,8,6,3,0,0,0,0,0,0,0,-5.59888481482705,-8.221941803095868,-5.674234252068837,-6.5637137264923355,-7.711116179329877,-9.320554091763977,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
71,1973,51381.5,1,0,25,3.2188758248682006,1.0986122886681098,3.7612001156935624,2.833213344056216,1.3862943611198906,2.833213344056216,3,3,0,3,8,0,0,0,0,0,0,0,-8.321304820168478,-10.44156835636857,-7.778980529343118,-8.706967300980464,-10.153886283916789,-8.706967300980464,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
72,1959,65031.0,0,1,29,5.552959584921617,4.672828834461906,5.673323267171493,4.430816798843313,3.6109179126442243,4.454347296253507,4,10,3,13,7,0,0,0,0,0,0,0,-6.222806953901361,-7.102937704361072,-6.102443271651486,-7.344949739979665,-8.164848626178754,-7.321419242569471,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,1975,60631.0,1,1,88,6.336825731146441,1.791759469228055,4.174387269895637,0.0,1.791759469228055,2.9444389791664403,5,9,2,8,7,0,1,0,0,0,0,0,-5.368883041828338,-9.913949303746724,-7.531321503079142,0.0,-9.913949303746724,-8.761269793808339,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
74,1952,28332.0,0,0,58,2.6390573296152584,2.302585092994046,2.5649493574615367,1.3862943611198906,2.70805020110221,2.1972245773362196,1,2,1,4,2,0,0,0,0,0,0,0,-8.3058370378182,-8.642309274439413,-8.379945009971921,-9.558600006313569,-8.236844166331249,-8.74766979009724,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
75,1977,40246.0,1,0,68,0.6931471805599453,0.0,1.791759469228055,0.6931471805599453,0.0,0.0,1,1,0,2,6,0,0,0,0,0,0,0,-10.602765899026313,-11.295913079586258,-9.504153610358204,-10.602765899026313,-11.295913079586258,-11.295913079586258,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
76,1972,75251.0,0,0,34,6.580639137284949,4.709530201312334,6.829793737512425,4.574710978503383,2.8903717578961645,2.8903717578961645,1,7,6,5,5,0,0,0,0,0,0,1,-5.341092514834365,-7.21220145080698,-5.091937914606889,-7.347020673615931,-9.031359894223149,-9.031359894223149,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
77,1976,75825.0,0,0,40,6.939253946041508,4.653960350157523,6.658011045870748,4.919980925828125,4.653960350157523,3.9318256327243257,0,5,8,9,4,1,0,0,0,0,0,1,-4.990076567075219,-7.275370162959204,-5.271319467245979,-7.009349587288602,-7.275370162959204,-7.997504880392401,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
