,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntWine_PerIncome,MntFruit_PerIncome,MntMeat_PerIncome,MntFish_PerIncome,MntSweet_PerIncome,MntGold_PerIncome,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,Education_2n Cycle,Education_Bachelors,Education_HighSchool,Education_Master,Education_PhD,Dt_Custom_Weekday_0,Dt_Custom_Weekday_1,Dt_Custom_Weekday_2,Dt_Custom_Weekday_3,Dt_Custom_Weekday_4,Dt_Custom_Weekday_5,Dt_Custom_Weekday_6,Dt_Customer_Season_Autumn,Dt_Customer_Season_Spring,Dt_Customer_Season_Summer,Dt_Customer_Season_Winter
12,1959,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0.0015388764615360208,0.00048387352656544983,0.003807529389367474,0.0017847794012660035,0.000888423524185744,0.00023797058683546713,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,1952,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0.0019627994743403984,1.684806415742831e-05,0.00044647370017185026,2.5272096236142466e-05,4.212016039357078e-05,0.00011793644910199817,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
14,1987,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,8.659008254921204e-05,0.0004040870518963228,0.0004906771344455348,0.00017318016509842407,2.8863360849737343e-05,0.0001443168042486867,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,1946,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0.00607487922705314,0.00013285024154589372,0.0006944444444444445,0.000356280193236715,0.0004106280193236715,0.0002717391304347826,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16,1980,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0.0006332138590203106,5.973715651135006e-05,0.00022700119474313024,2.3894862604540025e-05,0.00015531660692951016,4.778972520908005e-05,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,1946,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0.0011122881355932204,6.620762711864407e-05,0.0005031779661016949,0.001986228813559322,0.00015889830508474575,0.0003707627118644068,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,1949,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,0.006571855315280213,0.0005195142541723489,0.0032339762322228715,0.0,0.00010390285083446977,0.0011429313591791676,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
19,1985,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,5.915059742103395e-05,0.0002513900390393943,0.00028096533774991125,0.00044362948065775466,0.0003549035845262037,0.000576718324855081,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,1982,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0.0011609071274298055,2.6997840172786177e-05,0.0009854211663066954,0.0009314254859611231,0.0005129589632829373,0.0006479481641468683,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,1949,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,0.00739672735338782,0.0,0.0007337007524698415,0.0,0.0,0.00016209667787124406,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,1954,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0.0029391953952605473,0.0,0.000780723776866083,0.0001607372481783112,0.00024493294960504564,3.8270773375788375e-05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
24,1951,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0.0033178500331785005,3.686500036865e-05,0.00033178500331785003,0.00047924500479245007,7.37300007373e-05,0.0012165450121654502,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,1969,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0.00016138576577545862,0.0001075905105169724,0.0006724406907310775,0.0004034644144386465,0.00032277153155091723,0.0003496691591801603,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,1976,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0.0016210948481043498,3.748196180588092e-05,0.0002811147135441069,2.811147135441069e-05,5.622294270882138e-05,0.00038419010851027945,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,1986,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,4.865564454132324e-05,9.731128908264648e-06,2.9193386724793942e-05,2.9193386724793942e-05,0.0025592869028736023,0.0035226686647918024,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28,1989,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0.0004692387904066736,2.6068821689259645e-05,0.0005474452554744526,0.00026068821689259646,0.0002737226277372263,0.00013034410844629823,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29,1965,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0.004041693256753882,0.0005908908270108015,0.00473303552435652,0.0001240870736722683,0.00038998794582712897,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
30,1989,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0.0003643319063667001,0.00018216595318335004,0.0004554148829583751,9.108297659167502e-05,9.108297659167502e-05,0.00018216595318335004,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
31,1963,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0.0014500258933195236,0.00022009321595028482,0.0005696530295183843,0.00044018643190056963,0.00028482651475919215,0.00115225271879855,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
32,1970,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,0.0013564170859228569,0.0,6.165532208740258e-05,2.4662128834961033e-05,0.0,3.699319325244155e-05,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,1952,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,0.0010298219266251878,0.00012872774082814848,0.0010298219266251878,0.0003540012872774083,0.00023600085818493885,0.00046127440463419867,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
34,1946,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0.003510202892640226,0.0002476076729248292,0.003430094527870428,0.0008666268552369022,0.0004952153458496584,0.00016021672953959537,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35,1951,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0.00040494847030715344,0.0,0.00019235052339589787,2.024742351535767e-05,1.0123711757678835e-05,3.0371135273036507e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
36,1970,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0.0052113491603937466,0.0001262007631434383,0.0011209597196858343,0.0,5.9388594420441554e-05,0.0002598251005894318,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
37,1976,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0.00012648621300278268,6.324310650139134e-05,0.00029513449700649294,0.0003162155325069567,0.00014756724850324647,0.0007589172780166962,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38,1973,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0.0006481416012632869,0.0,7.070635650144948e-05,2.356878550048316e-05,0.0,4.713757100096632e-05,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,1943,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0.004463920895644357,8.171937566396992e-05,0.0021042739233472258,0.0016343875132793985,0.0005005311759418158,0.00042902672223584214,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40,1980,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0.002630888252865231,0.0004749346964792341,0.00334953943832723,0.000512429540938121,0.0011123470522803114,0.0006374123558010774,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41,1985,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0.0003161632375115521,2.4320249039350164e-05,0.0007052872221411547,7.296074711805048e-05,0.0,0.00017024174327545113,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
42,1957,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0.00020460125488769664,0.0,0.00013640083659179777,6.820041829589889e-05,2.2733472765299626e-05,6.820041829589889e-05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,1959,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0.0007882214415694365,0.00010704241799091113,0.0004865564454132324,2.9193386724793942e-05,1.9462257816529296e-05,0.00037951402742232126,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
45,1976,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0.0007693173715615266,0.0010257564954153687,0.0016637269986615128,0.0014197971003615166,0.00018763838330768942,0.0010883026231845987,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47,1968,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0.0001557707055214724,7.189417177914111e-05,0.00017973542944785275,3.5947085889570555e-05,5.991180981595092e-05,0.0001557707055214724,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48,1951,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,0.0004670941875967031,4.865564454132324e-05,0.0004670941875967031,5.8386773449587884e-05,9.731128908264648e-05,6.811790235785254e-05,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,1954,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0.00569262577532736,0.00034458993797381116,0.002184700206753963,0.00034458993797381116,0.0002618883528600965,0.0002618883528600965,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
50,1957,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0.0018706288366979202,0.0001450691750908591,0.0009544024677030205,0.0002825031304400941,0.000511559722688819,0.00010689307638273829,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51,1964,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0.0041064907825076125,0.0002337540906965872,0.004927788939009135,0.0001705773094272393,0.0010550522471981098,0.00020216570006191325,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
52,1977,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0.00016764459346186087,8.382229673093043e-05,0.0002794076557697681,0.00041911148365465214,1.3970382788488405e-05,4.191114836546522e-05,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,1977,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0.003087839965125572,0.0007265505800295464,0.0033300234918020874,0.0009445157540384103,0.00024218352667651545,0.0014591557482260056,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,1978,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0.002470884245099664,6.779865306675907e-05,0.0009341147755864583,9.03982040890121e-05,0.0001807964081780242,0.0008211170204751933,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
55,1955,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0.005972033404544572,0.00030952612157700526,0.0026218683239463973,0.0010924451349776656,0.0007282967566517771,0.0011531365313653136,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
56,1966,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0.0020985388478666042,0.00024897918534010554,0.0034287990666837394,0.0008607566121757935,0.0008536429211660762,0.00028454764038869206,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57,1988,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0.0002326580284916601,0.0,0.00014317417137948315,3.579354284487079e-05,1.7896771422435394e-05,8.948385711217697e-05,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58,1982,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,0.00010704241799091113,2.9193386724793942e-05,0.00021408483598182225,1.9462257816529296e-05,1.9462257816529296e-05,5.8386773449587884e-05,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
59,1968,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0.003994352503842442,0.0,0.00025020552596775924,0.0,0.0,0.0003842442005933445,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
60,1982,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0.00469799543397073,0.00017155601303825698,0.0035498898082531637,0.00045528326537075896,8.577800651912849e-05,0.0005278646555023292,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
61,1975,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0.0033906950924939613,0.0001350276806745383,0.000765156857155717,0.00012002460504403403,0.0001350276806745383,4.500922689151276e-05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
62,1952,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0.00422981738188053,5.6613234556718376e-05,0.0010837390615143232,0.00029924138265694,0.00011322646911343675,0.001366805234297915,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
63,1951,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0.004033687943262411,0.0,0.0003546099290780142,0.0,4.4326241134751776e-05,4.4326241134751776e-05,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
64,1948,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0.0028160643024934197,0.0002830215379390372,0.002596722610590666,0.0008419890753686355,0.0008632156907140634,0.00021226615345427787,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
65,1971,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1.943936860930757e-05,5.831810582792271e-05,0.00011663621165584542,5.831810582792271e-05,0.00011663621165584542,0.0002915905291396135,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
66,1967,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0.00015396932930960154,0.0,1.5396932930960152e-05,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
67,1979,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,0.0039004920969680475,7.937047871737307e-05,0.0017518198516905913,0.001139533301585142,0.00013606367780121098,0.00021543415651858403,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68,1958,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0.0017873682991779553,0.0003545791362741693,0.0011505731156651615,5.0654162324881326e-05,0.0005933773300914669,0.0007887576704874378,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
69,1970,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0.0057177973121008896,0.00039410051567050525,0.0032529991717209503,0.00038742084591337806,0.00019371042295668903,0.00048761589227028614,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,1954,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0.0037019898195279964,0.0002686928094818707,0.0034332970100461255,0.0014106372497798211,0.0004478213491364512,8.956426982729023e-05,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
71,1973,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,0.0002432782227066162,2.9193386724793942e-05,0.00041843854305537983,0.000165429191440499,3.892451563305859e-05,0.000165429191440499,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
72,1959,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0.001983669326936384,0.000822684565822454,0.0022373944734049916,0.0006458458273746367,0.0002844797096769233,0.0006612231089787947,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,1975,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,0.004659332684600287,4.9479639128498625e-05,0.0005360294238920684,0.0,4.9479639128498625e-05,0.00015668552390691231,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
74,1952,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0.00024707045037413523,0.00017647889312438233,0.00022942256106169703,7.059155724975294e-05,0.00026471833968657346,0.0001588310038119441,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
75,1977,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,2.4847189782835563e-05,1.2423594891417781e-05,7.454156934850668e-05,2.4847189782835563e-05,1.2423594891417781e-05,1.2423594891417781e-05,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
76,1972,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0.004790634011508153,0.0007375317271531276,0.006146097726276062,0.0006445097075121925,0.00011959973953834501,0.00011959973953834501,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
77,1976,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0.006805143422354104,0.0006923837784371909,0.005136828222881635,0.0009033959775799538,0.0006923837784371909,0.00033630069238377845,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
78,1976,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,1.899263085922662e-05,0.0,9.49631542961331e-05,0.0,5.697789257767986e-05,0.00017093367773303957,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
79,1965,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0.005147557363594191,0.0,0.0005709595689255255,0.0,0.0,0.0004549834064875281,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80,1985,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0.001075268817204301,6.720430107526882e-05,0.00114247311827957,0.00011760752688172044,8.400537634408603e-05,0.0002856182795698925,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
81,1969,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,7.603406326034063e-05,1.900851581508516e-05,9.50425790754258e-05,3.801703163017032e-05,0.0,7.603406326034063e-05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
82,1973,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0.0005305827921388853,0.00010611655842777707,0.00040324292202555286,0.0001485631817988879,0.0,0.0004881361687677745,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
83,1963,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0.0014500258933195236,0.00022009321595028482,0.0005696530295183843,0.00044018643190056963,0.00028482651475919215,0.00115225271879855,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
84,1987,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0.001001708435245388,0.0001413453620284903,0.0026056710217426038,0.00016592716412040166,0.00039945428399355956,0.0004670542397463158,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
85,1960,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0.00028872282608695654,0.0001358695652173913,0.0002377717391304348,0.00016983695652173913,6.793478260869565e-05,5.0951086956521736e-05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
86,1970,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,0.0017986606895788366,0.0,0.0002213736233327799,0.0,0.0,6.917925729149372e-05,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
87,1957,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,0.00289751528141621,5.953798523457966e-05,0.0003671509089465746,0.0,2.976899261728983e-05,0.00033738191632928474,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
88,1973,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0.0021986858140791276,0.0003769175681278504,0.003568152978276984,0.0006910155415677258,0.0008355006093500684,0.0009108841229756386,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
89,1967,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,0.001245893166968142,8.30595444645428e-05,0.0003599246926796855,3.6915353095352356e-05,0.0,6.460186791686663e-05,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
